작성자,리뷰내용,방문일,방문횟수,인증
ksm9729,좋아요,2022년 11월 29일 화요일,1번째 방문,
anizz14,굿,2022년 7월 26일 화요일,4번째 방문,
08140,맛잇어요~,2022년 7월 18일 월요일,1번째 방문,
eun****,스타벅스 커피 짱!,2022년 8월 14일 일요일,2번째 방문,
토리4281,맛있는 디저트가 좋네요,2022년 7월 17일 일요일,1번째 방문,
384738,굳굳,2022년 6월 20일 월요일,2번째 방문,
ent****,커피 굿,2022년 7월 21일 목요일,1번째 방문,
구원받다,"늘 사람이
많네요",2022년 4월 20일 수요일,2번째 방문,
kim9434,굿,2022년 10월 12일 수요일,1번째 방문,
민마담83,넓어서 좋아요,2022년 4월 21일 목요일,1번째 방문,
똘이75,굿,2022년 7월 18일 월요일,1번째 방문,
콩 시,굿,2022년 7월 18일 월요일,1번째 방문,
볼지수31,친절한 개롱역점 💚,2022년 5월 23일 월요일,1번째 방문,
Hanchoice,"맛나요
감사합니다",2022년 5월 25일 수요일,1번째 방문,
손권25,스벅,2022년 5월 7일 토요일,7번째 방문,
이도,친절해요,2022년 7월 14일 목요일,1번째 방문,
리쩡0824,둣,2022년 5월 21일 토요일,1번째 방문,
oh****,좋아요~,2022년 7월 13일 수요일,1번째 방문,
hsw****,굿,2022년 7월 7일 목요일,2번째 방문,
룰루70,좋아요,2022년 6월 10일 금요일,4번째 방문,
특수임무,매장이 넓고 좋아요.^^^,2022년 4월 18일 월요일,1번째 방문,
수선화5080,굿,2022년 7월 11일 월요일,1번째 방문,
챠옹96,너무 친절하셔서 좋았어요~!,2022년 3월 14일 월요일,1번째 방문,
akc****,맛있어요,2022년 5월 6일 금요일,1번째 방문,
마루14,핑크 매그놀리아 레모네이드👍👍,2022년 3월 11일 금요일,1번째 방문,
eve****,굳,2022년 6월 25일 토요일,3번째 방문,
달달뽁뽁이,좋아요,2022년 11월 9일 수요일,2번째 방문,
아이리스8243,"생크림 카스테라도 맛있고
돌체라떼맛에 반했어요",2022년 3월 18일 금요일,1번째 방문,
와이트,굳,2022년 6월 13일 월요일,6번째 방문,
띵똥729,좋아요,2022년 6월 24일 금요일,3번째 방문,
쌩뚱녀,맛있어요,2022년 5월 30일 월요일,1번째 방문,
토토2228,좋아용,2022년 5월 30일 월요일,2번째 방문,
토토2228,굿!!!!,2022년 5월 30일 월요일,3번째 방문,
본비49,"스벅 아아는 진리
커알못도 아는 맛",2022년 3월 8일 화요일,2번째 방문,
out of 천장지구,흔한 동네 스타벅스,2022년 2월 1일 화요일,1번째 방문,
비밀병기3호,"보통의 스타벅스, 친절함은 굿",2022년 2월 1일 화요일,1번째 방문,
워터사피언스,"바나나 먹고싶었는데 다 팔렸당..ㅠㅠ
카페라떼는 다룬 지점보다 커피가 진한듯..",2022년 3월 31일 목요일,1번째 방문,
개바라기46,좋아요,2022년 6월 25일 토요일,2번째 방문,
hsw****,굿~~~,2022년 7월 1일 금요일,1번째 방문,
CHLOE21,좋아요,2022년 6월 30일 목요일,1번째 방문,
캑2,굿,2022년 5월 26일 목요일,1번째 방문,
나야나4594,가깝고 넓고 깨끗해서 좋아요,2022년 3월 2일 수요일,6번째 방문,
기쁨020,시즌 메뉴 달달하니 맛있어요,2022년 3월 7일 월요일,1번째 방문,
퍼블,굳,2022년 5월 23일 월요일,1번째 방문,
워터사피언스,라떼 맛있어요~~,2022년 5월 1일 일요일,2번째 방문,
Goldstar64,가까워서 자주 가요,2022년 4월 11일 월요일,4번째 방문,
원하는것다이루어진다,좋아요,2022년 5월 18일 수요일,1번째 방문,
miya3,좋아,2022년 6월 20일 월요일,1번째 방문,
파이어멜론,좋아용,2022년 5월 17일 화요일,1번째 방문,
매력있어28,스벅,2022년 5월 27일 금요일,3번째 방문,
hantogra,괜찮아요~,2022년 5월 15일 일요일,1번째 방문,
Gyong서,좋아요!,2022년 5월 16일 월요일,1번째 방문,
art****,좋아요~,2022년 10월 20일 목요일,1번째 방문,
cle****,긋,2022년 5월 27일 금요일,1번째 방문,
시썬2,좋아요,2022년 6월 14일 화요일,1번째 방문,
bkbkbk,굳,2022년 6월 11일 토요일,3번째 방문,
royoswalt44,좋아요,2022년 8월 22일 월요일,3번째 방문,
jmy****,가격에 맞춰서 응대해주셨어용,2022년 3월 18일 금요일,1번째 방문,
벼라놀자,👌🏻,2022년 8월 13일 토요일,1번째 방문,
고산과영월,깨끗해요,2022년 10월 13일 목요일,2번째 방문,
ilovesinju,굿~,2022년 6월 7일 화요일,2번째 방문,
fie****,좋아요,2022년 6월 1일 수요일,2번째 방문,
히힛79,좋아요,2022년 6월 6일 월요일,2번째 방문,
겨울연이,,2022년 10월 16일 일요일,3번째 방문,
와이트,굳굳굳,2022년 5월 26일 목요일,2번째 방문,
냐앙이,굿,2022년 3월 31일 목요일,1번째 방문,
sos****,대형임,2022년 7월 29일 금요일,2번째 방문,
쩡아다,맛있어용~~~~~~~~~~~~~~~~♡,2022년 5월 24일 화요일,2번째 방문,
Dorothyii,커피때매가는데 여기지점만 화장실키가있다 신기?,2022년 2월 2일 수요일,1번째 방문,
밍동댕댕,맛있어요,2022년 5월 3일 화요일,3번째 방문,
미숫가루15,굿,2022년 4월 24일 일요일,1번째 방문,
채송392,굿,2022년 5월 27일 금요일,1번째 방문,
Goldstar64,슈크림라떼 나와서 갔는데 슈크림 양이 적더라고요 ㅠ,2022년 2월 25일 금요일,3번째 방문,
마사피31,굿,2022년 5월 26일 목요일,1번째 방문,
kem****,굿,2022년 9월 28일 수요일,1번째 방문,
와이트,굳><,2022년 5월 25일 수요일,1번째 방문,
l1k****,굿굿,2022년 5월 25일 수요일,1번째 방문,
햄찌햄찌현,좋아요!!!!!!!,2022년 5월 25일 수요일,1번째 방문,
송파런린이,커피 스콘이 맛있어요,2022년 3월 1일 화요일,1번째 방문,
짱짱영이,굿,2022년 5월 24일 화요일,1번째 방문,
heyjoy,좋아용,2022년 5월 22일 일요일,1번째 방문,
하나2022,ㆍ,2022년 4월 27일 수요일,2번째 방문,
룰루70,맛나요,2022년 4월 18일 월요일,3번째 방문,
ck****,ㅈ늫아요~,2022년 4월 18일 월요일,4번째 방문,
anizz14,좋아요,2022년 3월 22일 화요일,2번째 방문,
수원전자,굳👍,2022년 4월 16일 토요일,1번째 방문,
Goldstar64,더블에스프레소프라프치노 괜찮네요,2022년 2월 18일 금요일,2번째 방문,
das****,친절해요,2022년 4월 14일 목요일,1번째 방문,
현대해상담보신용79,가까워좋아요,2022년 3월 22일 화요일,1번째 방문,
jik****,커피가 맛있어요,2022년 3월 20일 일요일,1번째 방문,
황짠부,청결 유지를 철저히해서 좋아요,2022년 2월 20일 일요일,1번째 방문,
행복3043,가까워서먹어요,2022년 7월 17일 일요일,5번째 방문,
이유리4163,조아요,2022년 4월 9일 토요일,1번째 방문,
봉달이맘,긋,2022년 3월 20일 일요일,1번째 방문,
나야나4594,좋아요,2022년 4월 8일 금요일,7번째 방문,
cherrycherry1,좋아요,2022년 5월 12일 목요일,1번째 방문,
체리라떼34,굿,2022년 5월 10일 화요일,1번째 방문,
일하는Nal,직원분들이 친절하셔서 참좋아요,2022년 1월 15일 토요일,1번째 방문,
나야나4594,역근처라 위치가좋아요,2022년 2월 9일 수요일,5번째 방문,
야웅이야85,맛있게잘먹었어요~~,2022년 2월 12일 토요일,1번째 방문,
ssa****,좋아요,2022년 5월 7일 토요일,1번째 방문,
tkc****,커피 맛이좋아요,2022년 3월 12일 토요일,1번째 방문,
행복만들기79,굿,2022년 10월 29일 토요일,2번째 방문,
클라라944,좋아요,2022년 11월 29일 화요일,1번째 방문,
Goldstar64,새로나온 음료 먹어 봤는데 생각보다 so so네요,2022년 2월 8일 화요일,1번째 방문,
han****,굿,2022년 4월 29일 금요일,1번째 방문,
skj****,친절,2022년 4월 3일 일요일,1번째 방문,
yan****,굿!,2022년 4월 25일 월요일,1번째 방문,
greensan,친절해요,2022년 4월 22일 금요일,1번째 방문,
원정화,친절하고 커피맛이 좋아요,2022년 1월 25일 화요일,1번째 방문,
ljh****,,2022년 3월 20일 일요일,1번째 방문,
민준맘97,좋아요!,2022년 4월 15일 금요일,1번째 방문,
브루스쉭,굿굿,2022년 4월 11일 월요일,1번째 방문,
86642684,굿,2022년 4월 11일 월요일,2번째 방문,
his3325,좋아요,2022년 4월 10일 일요일,1번째 방문,
근자씽,개롱역에 있는 스벅. 깔끔해요,2021년 12월 29일 수요일,1번째 방문,
초코우유8628,친절하구 좋아용,2022년 1월 9일 일요일,1번째 방문,
inmystgo,직원들이 겁나 친절합니다ㅎㅅㅎ,2021년 12월 27일 월요일,8번째 방문,
꽃난이18,굿,2022년 3월 3일 목요일,2번째 방문,
ron****,매우 만족합니다^^,2022년 2월 8일 화요일,1번째 방문,
gin****,"스타벅스커피는
말해뭐해요^^아메리카노 넘맛납니다.",2022년 1월 9일 일요일,1번째 방문,
브라보마이라이프7,맛있어요,2022년 3월 31일 목요일,1번째 방문,
띵똥729,깔끔해요,2022년 3월 31일 목요일,1번째 방문,
어린왕자7828,좋아요,2022년 6월 20일 월요일,3번째 방문,
LocoMo,친절해요,2022년 3월 1일 화요일,1번째 방문,
Dorothyii,커피맛집,2022년 2월 3일 목요일,2번째 방문,
youthhan,좋아용~~,2022년 3월 28일 월요일,2번째 방문,
royoswalt44,좋습니다,2022년 6월 14일 화요일,2번째 방문,
nhs****,좋아요,2022년 6월 8일 수요일,3번째 방문,
MINI48,디저트. 블루베리 치즈케잌 넘 맛있어요,2021년 10월 25일 월요일,2번째 방문,
코코아랑,맛있어요,2022년 2월 18일 금요일,4번째 방문,
순돌이1378,조아요,2022년 2월 16일 수요일,2번째 방문,
thou31,굳,2022년 6월 12일 일요일,1번째 방문,
ka****,굿굿,2022년 3월 19일 토요일,1번째 방문,
urijuk,그냥커핀 넘 진하지만 디카페인 최고에여,2022년 7월 17일 일요일,2번째 방문,
royoswalt44,좋네요,2022년 6월 10일 금요일,1번째 방문,
잠만보8660,좋아요,2022년 3월 18일 금요일,1번째 방문,
ghm7221,만족스럽습니다,2022년 1월 7일 금요일,3번째 방문,
urijuk,디카페인 커피가 정말 맛있어여,2022년 7월 17일 일요일,1번째 방문,
jhs****,다른 사람 신경 쓰지 않고 책을 볼 수 있어서 좋았습니다^^,2021년 12월 19일 일요일,1번째 방문,
나야나4594,위치가좋아요,2021년 12월 13일 월요일,3번째 방문,
RANA세상,친절하고 좋아요,2021년 12월 12일 일요일,1번째 방문,
코코아랑,커피가 맛있어요,2021년 12월 10일 금요일,2번째 방문,
박가로세로이,귿,2022년 4월 20일 수요일,1번째 방문,
단아한 아이,좋아요,2022년 2월 3일 목요일,2번째 방문,
boardmen,호,2022년 6월 22일 수요일,1번째 방문,
풍선896,굿,2022년 2월 6일 일요일,2번째 방문,
코코872,스벅 굿,2022년 3월 6일 일요일,1번째 방문,
평정심87,디카페인라떼 좋아요,2021년 12월 5일 일요일,2번째 방문,
redchachaes,굿,2022년 3월 3일 목요일,2번째 방문,
inmystgo,직원들 항상 친절하심,2021년 12월 17일 금요일,7번째 방문,
라라민,좋아요,2022년 1월 26일 수요일,1번째 방문,
hjb****,굳,2022년 1월 25일 화요일,1번째 방문,
손권25,집앞인데 좀 커피가 써요,2021년 11월 6일 토요일,5번째 방문,
sts718,좋아요,2022년 2월 25일 금요일,1번째 방문,
달달뽁뽁이,편해요,2022년 6월 29일 수요일,1번째 방문,
juba,넓고 좋아요~,2022년 2월 19일 토요일,1번째 방문,
크린67,굿,2022년 2월 13일 일요일,2번째 방문,
돈이맘스,좋아요 커피 맛나요,2022년 6월 22일 수요일,1번째 방문,
코스모스8037,굿,2022년 1월 30일 일요일,4번째 방문,
즐거운 나28,집에서도 스벅,2021년 11월 13일 토요일,2번째 방문,
생이사랑,좋아요,2022년 6월 22일 수요일,1번째 방문,
lmy02200,좋아요,2022년 1월 12일 수요일,1번째 방문,
Remi7,매장이 깔끔하고 직원분들 친절함,2021년 10월 19일 화요일,1번째 방문,
소영4483,좋아요,2022년 1월 20일 목요일,31번째 방문,
양갱뇸뇸,파트너분들 너무 친절하세요,2021년 11월 18일 목요일,2번째 방문,
sun****,좋아요,2022년 1월 7일 금요일,4번째 방문,
min****,주차장이 없는것 빼면 좋아요,2021년 11월 8일 월요일,2번째 방문,
guni,,2021년 12월 4일 토요일,1번째 방문,
milky116,ㄱ,2021년 12월 26일 일요일,7번째 방문,
kim****,굿,2022년 2월 3일 목요일,1번째 방문,
미키형아,맛있어요,2022년 2월 1일 화요일,1번째 방문,
알8169,친절합니다~,2022년 2월 1일 화요일,1번째 방문,
반1119,직원분들이 친절하셔서 좋았어요,2021년 11월 9일 화요일,1번째 방문,
criss04,보통,2021년 12월 3일 금요일,9번째 방문,
ggagga1224,스타벅스,2022년 1월 11일 화요일,1번째 방문,
Tina8383,좋아요,2022년 1월 30일 일요일,1번째 방문,
손권25,라떼,2021년 11월 16일 화요일,6번째 방문,
도란도란4310,굿,2022년 1월 13일 목요일,3번째 방문,
파란하 늘,굿,2022년 1월 13일 목요일,3번째 방문,
하이퐈이브,굿,2022년 8월 21일 일요일,1번째 방문,
elena98,맛있어요,2021년 12월 20일 월요일,1번째 방문,
sangchu2,친절하세요,2021년 12월 20일 월요일,1번째 방문,
우우르,개롱역 근처에 있어서 편리해요,2021년 10월 29일 금요일,1번째 방문,
zx771015,"테이크아웃이었지만 매장 청결하고 대화하기 좋아요
직원분 친절하시고 커피맛도 굿입니디.",2021년 9월 6일 월요일,1번째 방문,
jungange,넘 친절 !,2022년 4월 19일 화요일,1번째 방문,
min****,좋아요,2021년 12월 29일 수요일,4번째 방문,
cki****,,2021년 11월 1일 월요일,1번째 방문,
jsm****,좋아요,2022년 1월 4일 화요일,1번째 방문,
vks****,친절해요,2022년 1월 10일 월요일,1번째 방문,
yamyop,굿,2021년 12월 20일 월요일,1번째 방문,
yunny43,굿,2022년 1월 5일 수요일,1번째 방문,
코카인 코코카인,굿,2021년 11월 24일 수요일,1번째 방문,
jtrkk0613,,2021년 10월 21일 목요일,2번째 방문,
영순이3796,친절하고 음료도 맛있어요,2021년 10월 2일 토요일,1번째 방문,
전원40,편하고 깔끔해요~~,2021년 9월 25일 토요일,1번째 방문,
치유하라,커피 케이크 모두 굿,2021년 10월 28일 목요일,1번째 방문,
twi****,넓은 매장,2022년 2월 24일 목요일,1번째 방문,
자우당간,좋아요,2021년 12월 20일 월요일,1번째 방문,
텅이1114,음료주셨던 키크신여성직원분 친절해요 감사합니다,2021년 8월 23일 월요일,1번째 방문,
곰탱이9226,ㅎㅎ,2021년 11월 27일 토요일,1번째 방문,
즐거운 나28,조으당,2021년 11월 13일 토요일,1번째 방문,
suk****,좋아요,2021년 12월 16일 목요일,1번째 방문,
쿵야9796,좋아요!,2021년 12월 15일 수요일,1번째 방문,
호랭이7162,커피,2021년 10월 23일 토요일,1번째 방문,
미카엘라3236,좋아요,2022년 4월 18일 월요일,1번째 방문,
kmh****,좋아요~~~~,2021년 11월 1일 월요일,3번째 방문,
아차차28,직원분들이 친절해요.,2021년 9월 14일 화요일,1번째 방문,
고고고44,깨끗하고 직원들 친절해요,2021년 9월 19일 일요일,1번째 방문,
sorryc,좋아여 ㅎㅎ,2022년 7월 3일 일요일,2번째 방문,
오마4237,"오늘 커피 맛이 좀 그랬나? 맹맛~~
한번더 주신건 조금 낫지만..
그래도 여러 스벅중에 별루루...",2021년 8월 7일 토요일,1번째 방문,
끌레오39,좋아요,2021년 11월 2일 화요일,1번째 방문,
mij****,.,2021년 11월 11일 목요일,2번째 방문,
NANIRAE,매장이 단층이고 친절함!,2021년 9월 2일 목요일,1번째 방문,
날다람쥐jj,,2021년 10월 30일 토요일,1번째 방문,
소영4483,맛있습니다 좋아요 추천합니다,2021년 8월 7일 토요일,14번째 방문,
carrotcakee,넓어서 좋아요.,2021년 9월 28일 화요일,2번째 방문,
기 로 fk,좋아요!!!,2021년 11월 23일 화요일,1번째 방문,
행복한냥이씨,이 지점은 처음인데 꽤 넓고 좋네요~,2021년 7월 24일 토요일,1번째 방문,
최서방네갓김취,남자알바분 친절합니다,2021년 8월 20일 금요일,1번째 방문,
심바62,여러잔 시켜도 빠르게 나오고 좋습니다,2021년 8월 25일 수요일,1번째 방문,
토토2228,친절해요^^!,2021년 10월 14일 목요일,1번째 방문,
첫번째손님,스타벅스 기념품 좋아요.,2021년 9월 20일 월요일,1번째 방문,
응나야나,좋아요,2021년 11월 12일 금요일,1번째 방문,
소영4483,좋았습니다,2021년 10월 20일 수요일,25번째 방문,
행복3043,맛있어요,2022년 2월 28일 월요일,4번째 방문,
박애교22,😋,2021년 9월 18일 토요일,2번째 방문,
올리브223,스타벅스 다움,2021년 9월 10일 금요일,1번째 방문,
milky116,알커피,2021년 9월 29일 수요일,6번째 방문,
소영4483,맛있습니다,2021년 10월 15일 금요일,21번째 방문,
lls****,"좋아요
사람이 많아서 테이크아웃만,.",2021년 8월 8일 일요일,2번째 방문,
긍정2222,조아영,2021년 10월 30일 토요일,1번째 방문,
Arkws,좋아요,2021년 10월 29일 금요일,1번째 방문,
소영4483,추천합니다,2021년 10월 6일 수요일,19번째 방문,
자유148,친절해요,2022년 3월 2일 수요일,1번째 방문,
하쿠나마타타7637,여자직원분 정말 불친절하시네요..,2021년 8월 1일 일요일,2번째 방문,
현이의먹방,굿,2021년 9월 20일 월요일,1번째 방문,
김똑시,,2021년 8월 18일 수요일,1번째 방문,
kjs****,굿,2021년 9월 24일 금요일,5번째 방문,
sherlock65,굿,2021년 9월 13일 월요일,1번째 방문,
코코아랑,아메리카노가 맛있어요,2021년 7월 18일 일요일,1번째 방문,
오늘도즐건하루,ㅐ,2021년 8월 23일 월요일,1번째 방문,
프로외식러,스벅 좋아요~,2021년 9월 11일 토요일,1번째 방문,
milky116,커피2,2021년 9월 3일 금요일,5번째 방문,
첫번째손님,스타벅스죠,2021년 9월 20일 월요일,2번째 방문,
요라이라이,매장 직원이 친절함,2021년 6월 13일 일요일,1번째 방문,
우루과루루,굿,2021년 10월 2일 토요일,1번째 방문,
엄마다5,,2021년 7월 13일 화요일,1번째 방문,
왕세자님,역시 티라미수는 스벅 맛있네요,2021년 7월 2일 금요일,1번째 방문,
sam1603,굿,2021년 11월 12일 금요일,1번째 방문,
호수세나링링,처음 갔는데 쾌적했어요,2021년 7월 27일 화요일,1번째 방문,
lhs1026,맛나요,2021년 8월 15일 일요일,1번째 방문,
sky****,굿,2021년 9월 17일 금요일,1번째 방문,
이재관77,깔끔하고 와서 책보거나 공부하기 좋아요. 추천추천,2021년 3월 3일 수요일,1번째 방문,
미소천사 짱아,좋아요,2021년 6월 22일 화요일,1번째 방문,
포춘콩,믿고 마시는 스타벅스,2021년 7월 19일 월요일,1번째 방문,
YERIMME,"스타벅스라고 너무 믿었나봐요… 살면서 이렇게 맛없는 샌드위치 처음 먹어봤어요!ㅠㅠㅠㅠㅠ😱
진짜 웬만하면 맛있을거라 생각했는데 치즈가 너무 느끼한 치즈고.. 야채도 그닥
신선하지않구 차라리 서브웨이가 있으면 그거드세오ㅠㅠ 스타벅스는 음료만 마시는데루…ㅠㅠㅠㅠ",2021년 7월 15일 목요일,1번째 방문,
anc****,케이크 맛있죠 코피도,2021년 7월 3일 토요일,1번째 방문,
gks407,좋아여,2021년 8월 17일 화요일,1번째 방문,
hja****,궂,2022년 3월 2일 수요일,1번째 방문,
anarc,쪼끔 추워요ㅠㅠ 에어컨 빵빵,2021년 6월 22일 화요일,1번째 방문,
73****,좋아요,2021년 8월 13일 금요일,2번째 방문,
햇살좋아,좋아요,2021년 8월 15일 일요일,1번째 방문,
띠리띠리84,좋아요,2022년 2월 7일 월요일,1번째 방문,
criss04,작음,2021년 6월 15일 화요일,7번째 방문,
오렌지948,좋아요,2021년 8월 11일 수요일,1번째 방문,
sis****,좋아요,2021년 7월 7일 수요일,1번째 방문,
미짱41,❤️,2021년 7월 8일 목요일,1번째 방문,
코알라4145,굿,2021년 8월 8일 일요일,1번째 방문,
나라구22,좋아요,2021년 7월 6일 화요일,1번째 방문,
vitamin71,좋아요,2021년 8월 8일 일요일,1번째 방문,
밀크티2676,좋아요,2021년 8월 8일 일요일,1번째 방문,
lsr7849,굿,2022년 3월 2일 수요일,1번째 방문,
Wondergirlsnow,굿,2021년 7월 1일 목요일,1번째 방문,
차칸니,친절해요~,2021년 8월 1일 일요일,1번째 방문,
김GM,좋아요,2021년 6월 16일 수요일,1번째 방문,
녹차5393,너무친절해서 감동받음 순환률도 빠름 그리고 사람 안에 엄청 많아요..코로나인데 좀 걱정되긴하더라구요,2021년 2월 17일 수요일,1번째 방문,
earlgrey63,맛있어요!!,2021년 6월 23일 수요일,4번째 방문,
댜허,"집근처라서 자주방문하는데 무섭다 무서워 코로나시대에
스마트 주문으로 기다림없이 바로 픽업할수 잇어서 근심걱정 없이 즐길수 있어서 좋았어용!! 심지어 커피가 나왓을때 알려주는 알림서비스는 정말 구우~웃!! 재택근무로 밖에 잘 나오지도 않는데 산책겸 나가서 넘나 상쾌하고 집에 가는 길에 마시는 돌체라떼도 맛나고 아주 좋네용!!!!~!!!",2020년 12월 17일 목요일,1번째 방문,
edc****,카푸치노 거품이 풍부하고 좋아요~,2021년 3월 4일 목요일,1번째 방문,
뱃살뱃살내뱃살ㅋ,달달한게 생각나서 방문.맛나요,2021년 1월 25일 월요일,1번째 방문,
d8ehx73jx73b,매장크기에 비해 좌석이 적어요,2021년 2월 28일 일요일,1번째 방문,
영림천사,따뜻한 카라멜마끼아또 한잔 좋았어요.,2020년 11월 14일 토요일,4번째 방문,
reg****,매장은 꽤 넓은편. 커피 맛도 타 스벅과 비슷.,2021년 3월 13일 토요일,1번째 방문,
candywony,자주가는 매장이지만 네이버페이결재로 스벅은 첨 이용했네요 도착하자마자 받아서 넘 편했어요^^ 추천합니다#,2020년 12월 23일 수요일,1번째 방문,
해피홈34,좋아요,2021년 6월 3일 목요일,1번째 방문,
JUDY0725,분위기 좋아요~,2021년 3월 4일 목요일,1번째 방문,
earlgrey63,슈크림라떼 맛있어요,2021년 3월 21일 일요일,3번째 방문,
JoA,좋아요,2021년 8월 19일 목요일,1번째 방문,
이시리잉,,2021년 3월 13일 토요일,1번째 방문,
김빵이,좋아요,2021년 5월 23일 일요일,1번째 방문,
yui****,조아요오~~,2021년 5월 25일 화요일,1번째 방문,
unk****,"기대를너무했나봐요!!~
홀그레인오트밀라떼는보통이었어요!!~
식사대용으로는너무달아요!!~",2021년 1월 16일 토요일,8번째 방문,
소영4483,추천합니다 좋았습니다,2021년 2월 28일 일요일,11번째 방문,
dkanro927,"친절하심
맛은 말차 좋아하는데 팥맛?나더라구요",2021년 2월 22일 월요일,1번째 방문,
세상만사 늴리리,지하철역 근처라 퇴근하면서 한잔~,2021년 1월 14일 목요일,1번째 방문,
okj****,굿,2021년 5월 9일 일요일,1번째 방문,
hyunji0105,좋아요,2021년 5월 4일 화요일,1번째 방문,
허락보다용서가쉽다,좋아요,2021년 7월 26일 월요일,1번째 방문,
dlr****,좋아요 맛있어요,2021년 2월 3일 수요일,1번째 방문,
ahn****,직원분들이 찐프로. 친절하고 손도 빠르고 캬~,2021년 1월 3일 일요일,6번째 방문,
소영4483,만족합니다 좋았습니다,2021년 2월 1일 월요일,10번째 방문,
소영4483,추천합니다 친절합니다,2021년 1월 31일 일요일,9번째 방문,
스텔라1642,좋아요,2021년 3월 14일 일요일,1번째 방문,
말랑이889,굿굿궁,2021년 4월 9일 금요일,2번째 방문,
HAECCI,굿👍,2021년 3월 11일 목요일,6번째 방문,
하늘구름빵,맛있어요~^^,2021년 3월 6일 토요일,3번째 방문,
delightful,자주 애용,2021년 2월 11일 목요일,1번째 방문,
criss04,음 나쁘지않음,2020년 12월 25일 금요일,6번째 방문,
하늘구름빵,블론드 소진이라니..ㅜㅜ,2020년 12월 29일 화요일,2번째 방문,
ahn****,스타벅스는 스타벅스야~,2020년 12월 29일 화요일,5번째 방문,
unk****,"우리동네 스타벅스
산책하며 라떼한잔!",2020년 12월 5일 토요일,7번째 방문,
온리갓심,유지민트티 월넛크림치즈케이크 맛나요,2020년 10월 24일 토요일,2번째 방문,
영림천사,좋아요 커피 맛있었어요 ♥︎,2020년 12월 1일 화요일,6번째 방문,
영림천사,다크초콜릿 따뜻하고 맛있었어요~,2020년 11월 30일 월요일,5번째 방문,
멋쟁이6064,맛있어요,2021년 2월 19일 금요일,1번째 방문,
소영4483,맛있습니다 추천합니다,2021년 1월 4일 월요일,8번째 방문,
ghm7221,친절하시고 좋아요 만족합니다,2020년 12월 22일 화요일,2번째 방문,
말랑말랑6152,맛있어요,2021년 3월 23일 화요일,1번째 방문,
Jeeyoung,항상 친절하고 빨리 나옵니다,2020년 10월 28일 수요일,9번째 방문,
unk****,시그니처초콜릿보다부드러운다크초콜릿,2020년 11월 25일 수요일,6번째 방문,
사각형광등,매장도 꽤 넓고 좋아요,2021년 1월 21일 목요일,1번째 방문,
kawaiiyou,가끔 생각날때 먹는데 조아요ㅎㅎ,2020년 12월 24일 목요일,1번째 방문,
gogor,맛있어요. 깔끔하게 포장해주셔서 좋습니다.,2020년 12월 23일 수요일,1번째 방문,
쩌비43,"친절하고 좋아요
잘먹을게요^^",2020년 12월 23일 수요일,1번째 방문,
유생6,#개롱역 #커피 # 냠냠,2021년 1월 15일 금요일,1번째 방문,
먹짱푸파,일하시는 분 정말 친절하시고 음료도 맛있었어요!!,2020년 10월 18일 일요일,1번째 방문,
주봉89,스벅 사이렌오더랑 비슷하죠. 포인트에 개인컵 할인되니 좋네요.,2020년 12월 23일 수요일,1번째 방문,
Dan Ast,언택트 가는길에 해봤는데 좋았습니다,2020년 12월 23일 수요일,1번째 방문,
밍밍7550,남자직원 분들이 친절하세요,2020년 11월 30일 월요일,8번째 방문,
불꽃박사장님,스벅 앞 붕어빵까지 함께하니 커피가 꿀맛이네요,2021년 1월 24일 일요일,1번째 방문,
여우5125,제가 카페인을 안먹는데 남성분 친절하게 응대해주셨어요~! 굿!!,2020년 10월 9일 금요일,1번째 방문,
샬롱,굳,2021년 3월 9일 화요일,1번째 방문,
unk****,돌체엔라떼!!!달달함이 필요할때 최고!!,2020년 11월 15일 일요일,5번째 방문,
멍멍1141,불친절한 스타벅스는 처음. 오더받으시는 덩치있는 여성분.. 음료받았는데 커피찌거기도 밑에 꽤 쌓여있어서 당황했습니다.,2020년 12월 8일 화요일,2번째 방문,
행복지기2163,커피와음료가 맛있네요~,2021년 1월 10일 일요일,1번째 방문,
we****,아주 빠르고 좋았어요.,2020년 12월 13일 일요일,1번째 방문,
HRday,블랙그레이즈드 라떼 정말 맛나용,2020년 10월 8일 목요일,1번째 방문,
cloudy26,#굿,2021년 3월 6일 토요일,1번째 방문,
영림천사,아메리카노 맛있었어요 ♥︎,2020년 11월 6일 금요일,3번째 방문,
쩌비43,아주 맛있어요,2020년 12월 31일 목요일,2번째 방문,
Possible6,"친절해요
미션음료 다 먹어보았네요.",2020년 11월 5일 목요일,1번째 방문,
unk****,달달함이 필요할때 돌체라떼,2020년 11월 7일 토요일,3번째 방문,
top****,망고주스!,2021년 1월 8일 금요일,1번째 방문,
하늘3941,먹고싶은 케이크가 품절이라서 시켰는데 견과류도 많이 들어있고 초코가 진해서 커피랑 먹으면 딱이에요,2020년 11월 13일 금요일,3번째 방문,
도담이772,맛있어요 역시 커피는 별다방,2020년 12월 6일 일요일,1번째 방문,
하늘3941,견과류를 좋아해서 고소하고 아주 맛있어요,2020년 11월 20일 금요일,4번째 방문,
pyj****,굿,2021년 2월 28일 일요일,1번째 방문,
스까리4836,매우 만족 합니다~ !^^!,2020년 11월 30일 월요일,2번째 방문,
소영4483,맛있습니다 추천합니다 감사합니다,2020년 11월 8일 일요일,5번째 방문,
